,latitude,longitude,demanda,cluster,cluster_name
0,-12.0745945517754,-77.082300670445,0,clust_6,346
1,-12.0716624970991,-77.0892526209354,,5,clust_6
2,-12.0869686294665,-77.0733658969402,8,5,clust_6
3,-12.0645497717363,-77.1040928088042,50,5,clust_6
4,-12.075410918214,-77.0765523612499,20,5,clust_6
5,-12.0807401889721,-77.0819928869605,60,5,clust_6
6,-12.0807401889721,-77.0819928869605,60,5,clust_6
7,-12.075410918214,-77.0765523612499,20,5,clust_6
8,-12.0755135375943,-77.0773724466562,20,5,clust_6
9,-12.0869686294665,-77.0733658969402,8,5,clust_6
10,-12.0702838334392,-77.0943538472056,50,5,clust_6
11,-12.0712202107668,-77.0901702716947,30,5,clust_6
12,-12.0643763186867,-77.1029191464186,,5,clust_6
13,-12.0745945517754,-77.082300670445,,5,clust_6
14,-12.0794582885615,-77.0836065709591,10,5,clust_6
15,-12.0842721312875,-77.0797674035835,,5,clust_6
16,-12.0794582885615,-77.0836065709591,10,5,clust_6
