index,population,count_intersections,streets_per_node_avg,betweenness_centrality_avg,primary_length_total_ext,highway_length_total_ext,fraction_oneway_ext,N_BFA,N_OtherServices,N_Retail,N_Est_Mfg,N_Est_BFA,N_Est_RW,N_Emp_Mfg,N_Emp_BFA,N_Emp_RW,N_Emp_Tot,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,kopt+0_Clusters,kopt+1_Clusters,kopt+2_Clusters,lat,lon,utm_n,utm_e
117,1461,114,3.041322314,0.059483876,0.0,0.0,0.164403877,24,4,10,0.0,1.0,0.0,0.0,1.0,4.0,332.0,6.57041854778,4.09383220143,-3.38255291207,0.086344726838,-1.3350806209,1.81897207374,-0.103225947355,4,0,0,-12.33002618,-76.82652389,8636276.063,301380.8033
248,3558,57,3.030769231,0.096962759,0.0,0.0,0.0,28,5,15,0.0,1.0,0.0,0.0,1.0,4.0,332.0,7.56220666643,2.6115351556,-5.33583930551,-5.21123932027,-1.06419856747,0.77536360547,-0.984636597767,1,2,0,-12.31188745,-76.83559098,8638276.063,300380.8033
312,1768,63,3.260869565,0.076863127,0.0,0.0,0.06165465,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1393232867,1.99655533365,-0.38260539442,-0.960326343446,-0.872625576893,3.27984249625,1.51495138827,1,2,0,-12.30272488,-76.8539118,8639276.063,298380.8033
313,6137,96,3.14,0.091784168,0.0,4060.184994,0.226727158,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48980834724,0.0984280535383,-2.36893084578,2.16764107765,24.3012949305,4.28214806593,3.26795524022,0,6,6,-12.30278706,-76.84472002,8639276.063,299380.8033
378,8452,145,3.278911565,0.060881944,0.0,0.0,0.184630498,10,4,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.40510789166,5.84825401412,-1.26489376036,2.13955528287,-1.51126580929,3.69850873538,0.539361241723,4,0,4,-12.29368645,-76.85384843,8640276.063,298380.8033
443,1416,23,3.52173913,0.131752306,0.0,0.0,0.351102201,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12186547022,0.610206107224,-4.06073608786,-4.97750467755,-0.272022687834,6.34024675305,2.99035401213,1,2,0,-12.28458561,-76.86297621,8641276.063,297380.8033
444,1963,30,3.027777778,0.118370682,0.0,0.0,0.03980822,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2262610405,-0.809670247649,-0.333008862014,-6.97419829585,0.102971534457,1.21971641343,1.97890562949,1,2,3,-12.28464801,-76.85378511,8641276.063,298380.8033
508,10039,66,3.185714286,0.084118865,0.0,0.0,0.452237695,4,15,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91886995775,4.82263429704,-5.85968736492,-3.73679316442,-0.29779579138,3.60167995982,0.310604275196,4,0,0,-12.27548456,-76.87210337,8642276.063,296380.8033
574,4149,9,2.2,0.186813187,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.295432392,-5.72578120048,1.0255487554,-19.1449034233,2.23382931483,-5.91672367188,1.83207678058,1,2,3,-12.26644621,-76.87203953,8643276.063,296380.8033
575,1870,42,2.722222222,0.109390958,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.245223667,-1.39026442502,1.17379506896,-7.96691718354,0.492818086047,-1.34513671364,1.65989480014,1,2,3,-12.26650882,-76.8628491,8643276.063,297380.8033
635,1016,21,3.095238095,0.152255639,0.0,1626.015841,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.193055093,-2.81218989409,-2.56000623996,-7.5038444974,9.9554408431,1.92727831049,2.46809486958,1,2,3,-12.25709042,-76.91792554,8644276.063,291380.8033
638,1563,20,3.15,0.15877193,0.0,0.0,0.0,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9483776378,-1.43300476702,-3.39462942451,-9.76184208666,-0.0908522932908,1.68929296702,1.76515628333,1,2,3,-12.2572818,-76.89035581,8644276.063,294380.8033
639,2623,19,3.315789474,0.141898865,0.0,0.0,0.027210796,6,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64339794807,-0.0583074581922,-3.91693195533,-7.48275910484,-0.452378050897,3.15297879562,1.59652991006,1,2,3,-12.25734497,-76.88116579,8644276.063,295380.8033
640,2120,12,2.5625,0.197619048,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4882256888,-5.12272860006,-0.6111623565,-17.0815273864,1.48559575142,-3.13151619129,2.06542702942,1,2,3,-12.25740785,-76.87197573,8644276.063,296380.8033
700,3186,129,3.079710145,0.069031151,0.0,0.0,0.140473831,0,3,0,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,7.38454380229,1.7117672191,1.6093972594,0.698390093293,-0.873338335372,1.63063490442,0.48880898932,4,0,0,-12.24798793,-76.92704973,8645276.063,290380.8033
701,5925,129,3.147058824,0.054679625,0.0,0.0,0.073444169,1,0,1,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,7.05346578401,2.65669478758,2.65507256366,2.05469884729,-1.09648547379,2.04945467263,0.264997454663,4,0,0,-12.24805229,-76.91786024,8645276.063,291380.8033
703,2573,131,3.131034483,0.050210996,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86801566336,3.47061894983,1.97267149505,2.55071439189,-1.32987379964,2.13102538691,1.34586466073,4,0,0,-12.24818009,-76.89948109,8645276.063,293380.8033
704,2642,25,3.111111111,0.14017094,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4595897366,-1.24175112393,-0.902793269413,-8.31826334288,0.0459016410014,1.5849113533,2.04914350998,1,2,3,-12.24824353,-76.89029144,8645276.063,294380.8033
705,3445,20,3.19047619,0.13433584,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9616019767,-0.727343931348,-1.11168990874,-7.5894386954,-0.0854199557164,2.27800548449,2.04068895327,1,2,3,-12.24830666,-76.88110174,8645276.063,295380.8033
766,5774,191,3.270833333,0.050460986,0.0,0.0,0.265891039,1,0,3,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,5.02391189821,4.48000301575,2.09427186968,5.31007806844,-1.58288688146,3.68060350478,0.459275089068,4,0,4,-12.23894985,-76.92698416,8646276.063,290380.8033
768,7648,181,3.316939891,0.047453498,0.0,0.0,0.180476048,0,4,1,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,4.8578314502,4.79424370825,2.0717323177,5.31001074369,-1.66523946355,3.69731278829,0.406983320223,4,0,4,-12.23907816,-76.90860575,8646276.063,292380.8033
829,2298,75,3.12987013,0.089241285,0.0,0.0,0.057822604,0,0,0,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,8.78409294187,0.0161176640352,1.08543893903,-2.21001835106,-0.581689921055,1.72944121097,0.590393999181,1,2,0,-12.22971713,-76.95448495,8647276.063,287380.8033
830,9489,307,3.319354839,0.036051977,0.0,0.0,0.263815149,2,0,7,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,2.95768274915,7.76295028888,3.61840223545,10.3816879888,-2.64154595946,3.81360702477,-0.217997826057,4,0,4,-12.22978232,-76.94529624,8647276.063,288380.8033
832,6887,159,3.257861635,0.053696686,0.0,0.0,0.355541076,4,2,5,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,4.26250582658,4.40541704007,0.409711269091,3.52306943398,-1.21739808586,3.92300577955,0.325746613532,4,0,4,-12.22991176,-76.92691865,8647276.063,290380.8033
833,6820,254,3.205426357,0.037250235,798.744052,0.0,0.180348326,2,2,4,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,4.05318629032,6.28152718005,2.89344215659,8.42115659433,-2.12933452234,-0.0355307026533,1.13658614945,4,0,4,-12.22997602,-76.91772978,8647276.063,291380.8033
834,7112,199,3.170616114,0.044920682,677.3806941,0.0,0.078080804,3,3,11,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,4.6381431841,5.45409676677,1.33658063596,5.47708011986,-1.94637789681,-0.496562662214,-0.111651136993,4,0,4,-12.23003998,-76.90854086,8647276.063,292380.8033
835,3161,64,3.057142857,0.113019121,0.0,0.0,0.055203582,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5476894478,0.186741789703,0.23293816085,-5.29799968532,-0.180716634853,1.48979901309,1.96969149125,1,2,0,-12.23010362,-76.89935188,8647276.063,293380.8033
840,1000,26,3.0,0.184672365,0.0,0.0,0.085997727,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.382183571,-3.13598944473,-2.06017892587,-12.4118240093,0.559088835021,0.756359999498,2.41507987493,1,2,3,-12.23041726,-76.85340625,8647276.063,298380.8033
