fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,venta_frutas,venta_verduras,superficie_bodega,num_personas,hora_apertura_semana,hora_cierre_semana,abre_fin_de_semana,horario_atencion_igual,hora_apertura_fin_de_semana,hora_cierre_fin_de_semana,num_entregas_general,num_recojos_general,num_lugares,num_entregas_fv,num_recojos_fv,lugar_principal,vehiculo_recojo,vehiculo_recojo_other,num_viajes_lugar_principal,cant_carga,cant_sku,cadena_frio,cant_merma,motivo_si_oferta,motivo_si_oferta_other,motivo_no_oferta,motivo_no_oferta_other,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
d4102086-3915-4f67-9b61-13e019c91633,2019-02-27 20:57:36 PET,2019-02-27 20:58:17 PET,ingenieria@up.edu.pe,ingenieria@up.edu.pe,2019-03-01 09:50:19 PET,2019-03-01 09:50:19 PET,1,,,,-12.0168867,-76.9882046,POINT (-76.9882046 -12.0168867),0,0,4x4,,,,,,,,4,0,,,,,,,,,,,,,,Los clientes no piden FyVs,,,,,,
2e4b8a8c-15a1-4d36-9227-23d46527b357,2019-02-27 21:00:34 PET,2019-02-27 21:01:20 PET,ingenieria@up.edu.pe,ingenieria@up.edu.pe,2019-03-01 09:50:20 PET,2019-03-01 09:50:20 PET,1,,,,-12.016351,-76.988793,POINT (-76.988793 -12.016351),0,0,5x3,,,,,,,,3,0,,,,,,,,,,,,,,,Existencia de un mercado dedicado a la fruta ,,,,,
d36be7df-5d15-400e-82ae-ee198ac1c412,2019-02-27 21:03:52 PET,2019-03-01 10:10:45 PET,ingenieria@up.edu.pe,ingenieria@up.edu.pe,2019-03-01 09:50:20 PET,2019-03-01 10:10:48 PET,2,,,,-12.016514,-76.9879356,POINT (-76.9879356 -12.016514),0,0,2x2,,,,,,,,3,1,,,,,,,,,,,,,,Las FyVs se malogran,,,,,,
56cb952b-1506-42e6-a707-af234c225506,2019-02-27 21:09:53 PET,2019-03-01 10:10:28 PET,ingenieria@up.edu.pe,ingenieria@up.edu.pe,2019-03-01 09:50:20 PET,2019-03-01 10:10:30 PET,2,,,,-12.0156054,-76.9885989,POINT (-76.9885989 -12.0156054),1,1,5x5,,,,,,,,9,3,2,0,3,Mercado de santa Anita ,Carro particular,,3,8,15,0,1,,,,,,,,,
9b8aec7a-2685-4ec7-b321-69dbe28b0823,2019-02-27 20:51:43 PET,2019-03-01 10:10:18 PET,ingenieria@up.edu.pe,ingenieria@up.edu.pe,2019-03-01 09:50:21 PET,2019-03-01 10:10:20 PET,2,,,,-12.0149871,-76.9866087,POINT (-76.9866087 -12.0149871),0,0,3x3,,,,,,,,5,0,,,,,,,,,,,,,,Las FyVs se malogran,,,,,,
987c5117-256d-4af8-811a-29d7f4273df0,2019-02-27 10:58:58 PET,2019-03-01 09:58:01 PET,ingenieria@up.edu.pe,ingenieria@up.edu.pe,2019-03-01 09:50:25 PET,2019-03-01 09:58:03 PET,2,,,,-12.0165022822964,-76.9878370481244,POINT (-76.9878370481244 -12.0165022822964),1,1,4x4,,,,,,,,1,8,3,0,2,2,,Caminando ,2,2,7,0,0,,,,,240.657424926758,65.0,10.0,-1.0,-1.0
5cf4e825-36c6-4da8-bc0b-898d57a5319f,2019-02-27 11:07:43 PET,2019-03-01 10:14:04 PET,ingenieria@up.edu.pe,ingenieria@up.edu.pe,2019-03-01 09:50:25 PET,2019-03-07 19:39:46 PET,5,,,,-12.0159568531427,-76.9886759664971,POINT (-76.9886759664971 -12.0159568531427),1,1,7x4,,,,,,,,2,1,2,2,2,Mercado de santa anita,Van,,2,5,21,0,30,,,,,237.551422119141,65.0,10.0,-1.0,-1.0
04e4d38e-5b2b-4d04-a0a8-7dffe0e33751,2019-02-27 12:07:36 PET,2019-03-01 10:20:25 PET,ingenieria@up.edu.pe,ingenieria@up.edu.pe,2019-03-01 09:50:26 PET,2019-03-01 10:20:27 PET,4,,,,-12.0255394110243,-77.0013994811295,POINT (-77.0013994811295 -12.0255394110243),0,0,5x4,,,,,,,,6,2,,,,,,,,,,,,,,Los clientes no piden FyVs,,214.716125488281,65.0,10.0,-1.0,-1.0
fe545cf5-303a-4551-b0f3-0d004be1f636,2019-02-27 10:55:19 PET,2019-02-27 12:08:39 PET,ingenieria@up.edu.pe,ingenieria@up.edu.pe,2019-03-01 09:50:26 PET,2019-03-01 09:50:26 PET,1,,,,-12.0173596311473,-76.9873363897921,POINT (-76.9873363897921 -12.0173596311473),0,0,5x3,,,,,,,,8,0,,,,,,,,,,,,,,,Hay un mercado donde venden frutas y verduras ,231.327091217041,10.0,4.0,0.0,-1.0
4b62ff31-8a27-44a3-a6d9-d723f4d8af54,2019-02-27 11:37:40 PET,2019-03-01 10:18:51 PET,ingenieria@up.edu.pe,ingenieria@up.edu.pe,2019-03-01 09:50:26 PET,2019-03-01 10:18:53 PET,3,,,,-12.0204647484751,-77.0013318981261,POINT (-77.0013318981261 -12.0204647484751),0,0,2x2,,,,,,,,0,2,,,,,,,,,,,,,,,Bodega recién empezando ,175.169998168945,65.0,92.9676818847656,-1.0,-1.0
