fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,venta_frutas,venta_verduras,superficie_bodega,num_personas,hora_apertura_semana,hora_cierre_semana,abre_fin_de_semana,horario_atencion_igual,hora_apertura_fin_de_semana,hora_cierre_fin_de_semana,num_entregas_general,num_recojos_general,num_lugares,num_entregas_fv,num_recojos_fv,lugar_principal,vehiculo_recojo,vehiculo_recojo_other,num_viajes_lugar_principal,cant_carga,cant_sku,cadena_frio,cant_merma,motivo_si_oferta,motivo_si_oferta_other,motivo_no_oferta,motivo_no_oferta_other,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
a83a45af-13ad-451b-a7d3-b94ad5da2f97,2019-05-27 11:19:37 PET,2019-05-27 11:40:27 PET,cm.ramosg@alum.up.edu.pe,cm.ramosg@alum.up.edu.pe,2019-05-27 11:28:47 PET,2019-05-27 12:10:31 PET,2,,,,-12.0911282735856,-77.036468423903,POINT (-77.036468423903 -12.0911282735856),1,0,6x6,3,07:00,10:00,yes,,07:00,11:00,20,1,1,0,2,Mercado de frutas,Carro particular,,1,20,6,1,2,,Venta de jugos,,,,,,,
8cf83caa-72cd-4683-80e0-cc43b5aeabe0,2019-05-27 11:06:54 PET,2019-05-27 11:45:18 PET,cm.ramosg@alum.up.edu.pe,cm.ramosg@alum.up.edu.pe,2019-05-27 11:29:29 PET,2019-05-27 11:45:27 PET,2,,,,-12.0913922,-77.0379104,POINT (-77.0379104 -12.0913922),1,0,4x4,1,07:30,22:00,yes,yes,07:30,22:00,14,2,1,0,3,Mercado mayorista de frutas ,Carro particular,,3,15,6,0,1,Los clientes piden FyVs,,,,139.016357421875,3.0,,,
029a8440-f42b-46e4-8889-39a044dfa7cd,2019-05-27 11:31:02 PET,2019-05-27 12:20:31 PET,cm.ramosg@alum.up.edu.pe,cm.ramosg@alum.up.edu.pe,2019-05-27 11:45:28 PET,2019-05-27 12:26:01 PET,2,,,,-12.0910028,-77.0356114,POINT (-77.0356114 -12.0910028),1,1,7x3,1,07:30,22:30,yes,no,08:30,13:30,30,0,1,0,2,Mercado de frutas ,Carro particular,,2,42,18,1,1,Los clientes piden FyVs,,,,135.200622558594,23.031,,,
afed4fe8-0955-4f1a-b9af-65d4f3f241ab,2019-05-27 11:48:55 PET,2019-05-27 11:53:00 PET,cm.ramosg@alum.up.edu.pe,cm.ramosg@alum.up.edu.pe,2019-05-27 11:57:08 PET,2019-05-27 11:57:08 PET,1,,,,-12.0918862,-77.0346093,POINT (-77.0346093 -12.0918862),0,0,3x4,1,07:00,22:00,yes,yes,10:00,21:30,12,0,,,,,,,,,,,,,,,no tiene licencia ,141.040161132812,3.0,,,
50b4a222-1d57-471d-abe7-fb47958a6296,2019-05-27 12:06:38 PET,2019-05-27 12:10:24 PET,cm.ramosg@alum.up.edu.pe,cm.ramosg@alum.up.edu.pe,2019-05-27 12:10:31 PET,2019-05-27 12:10:31 PET,1,,,,-12.1013592541055,-77.035934664309,POINT (-77.035934664309 -12.1013592541055),0,0,8x5,3,06:00,11:00,yes,yes,,,5,0,,,,,,,,,,,,,,,"Panadería, municipalidad les restringe ",,,,,
6d088571-d5de-4c8a-9b7f-5a3858a74036,2019-05-27 12:23:17 PET,2019-05-27 12:25:45 PET,cm.ramosg@alum.up.edu.pe,cm.ramosg@alum.up.edu.pe,2019-05-27 12:26:01 PET,2019-05-27 12:26:01 PET,1,,,,-12.1011973081561,-77.036138176918,POINT (-77.036138176918 -12.1011973081561),0,0,7x2,2,07:00,21:00,yes,no,07:00,13:00,16,0,,,,,,,,,,,,,,,permiso municipal,,,,,
c949cefb-0651-4111-ac17-f71359e19524,2019-05-27 12:17:12 PET,2019-05-27 12:38:27 PET,cm.ramosg@alum.up.edu.pe,cm.ramosg@alum.up.edu.pe,2019-05-27 12:38:34 PET,2019-05-27 12:38:34 PET,1,,,,-12.1037484371928,-77.0361713692546,POINT (-77.0361713692546 -12.1037484371928),1,0,3x7,2,07:00,10:30,yes,yes,08:00,14:00,15,0,1,0,1,Mercado de frutas,Carro particular,,1,20,5,0,1,Los clientes piden FyVs,,,,,,,,
a70be052-2d3a-4f32-9eec-8250c742b120,2019-05-27 12:41:48 PET,2019-05-27 12:52:16 PET,cm.ramosg@alum.up.edu.pe,cm.ramosg@alum.up.edu.pe,2019-05-27 12:55:30 PET,2019-05-27 12:55:30 PET,1,,,,-12.1032591,-77.0307201,POINT (-77.0307201 -12.1032591),1,1,9x2,3,07:30,21:00,yes,yes,,,42,0,1,0,4,Mercado de frutas ,Carro particular,,4,65,17,1,2,Los clientes piden FyVs,,,,140.370361328125,3.185,,,
22289a0c-5a7b-4878-9eab-e5a34b428c9c,2019-05-27 12:44:33 PET,2019-05-27 12:52:39 PET,cm.ramosg@alum.up.edu.pe,cm.ramosg@alum.up.edu.pe,2019-05-27 12:55:31 PET,2019-05-27 12:55:31 PET,1,,,,-12.1032331,-77.0306406,POINT (-77.0306406 -12.1032331),0,0,9x5,1,07:00,21:30,yes,no,08:00,20:00,32,0,,,,,,,,,,,,,,Cercanía de otros locales que ofrecen FyVs,,132.456359863281,6.602,,,
c7d966d6-2ea2-4de6-b54a-a1f6db20799e,2019-05-27 12:47:14 PET,2019-05-27 12:53:41 PET,cm.ramosg@alum.up.edu.pe,cm.ramosg@alum.up.edu.pe,2019-05-27 12:55:31 PET,2019-05-27 12:55:31 PET,1,,,,-12.103308,-77.0311031,POINT (-77.0311031 -12.103308),0,0,2x2,2,08:30,22:00,yes,no,08:30,14:30,3,0,,,,,,,,,,,,,,No tiene los medios para abastecerse,,129.070251464844,4.09,,,
