fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,venta_frutas,venta_verduras,superficie_bodega,num_personas,hora_apertura_semana,hora_cierre_semana,abre_fin_de_semana,horario_atencion_igual,hora_apertura_fin_de_semana,hora_cierre_fin_de_semana,num_entregas_general,num_recojos_general,num_lugares,num_entregas_fv,num_recojos_fv,lugar_principal,vehiculo_recojo,vehiculo_recojo_other,num_viajes_lugar_principal,cant_carga,cant_sku,cadena_frio,cant_merma,motivo_si_oferta,motivo_si_oferta_other,motivo_no_oferta,motivo_no_oferta_other,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
6cd57065-3320-451c-b4d5-88fbfa9f1c8f,2019-05-25 19:11:35 UTC,2019-05-25 19:59:50 UTC,g.ruizaldazabal@alum.up.edu.pe,g.ruizaldazabal@alum.up.edu.pe,2019-05-25 19:59:32 UTC,2019-05-25 19:59:54 UTC,2,,,,-12.1103500507194,-77.0246821269393,POINT (-77.0246821269393 -12.1103500507194),0,0,5x3,3,08:00,20:00,yes,yes,09:00,20:00,1,1,,,,,,,,,,,,,,,Cercanía a un mercado,,,,,
17738e64-492d-40cb-875f-969420aaf1f5,2019-05-25 19:38:26 UTC,2019-06-06 15:54:07 UTC,g.ruizaldazabal@alum.up.edu.pe,g.ruizaldazabal@alum.up.edu.pe,2019-05-25 19:59:33 UTC,2019-06-11 17:47:51 UTC,2,,,,-12.1098452156417,-77.0235381647944,POINT (-77.0235381647944 -12.1098452156417),0,0,5x4,3,06:30,22:30,yes,yes,06:30,22:30,5,0,,,,,,,,,,,,,,,Cercanía al mercado,,,,,
e66835b4-3192-4836-a74d-188b674f38a6,2019-05-25 19:45:04 UTC,2019-06-11 17:49:25 UTC,g.ruizaldazabal@alum.up.edu.pe,g.ruizaldazabal@alum.up.edu.pe,2019-05-25 19:59:33 UTC,2019-06-11 17:49:27 UTC,2,,,,-12.1100343650002,-77.0220418274403,POINT (-77.0220418274403 -12.1100343650002),0,0,4x2,2,06:00,23:00,yes,no,06:00,20:00,1,1,,,,,,,,,,,,,,,Por el espacio,,,,,
eae56717-f474-4a96-83f6-c4dc84312ea6,2019-05-25 19:49:51 UTC,2019-05-25 19:59:58 UTC,g.ruizaldazabal@alum.up.edu.pe,g.ruizaldazabal@alum.up.edu.pe,2019-05-25 19:59:34 UTC,2019-05-25 20:00:08 UTC,2,,,,-12.1099904377781,-77.0215908810496,POINT (-77.0215908810496 -12.1099904377781),1,1,4x4,2,06:00,22:00,yes,yes,06:00,22:00,5,1,2,0,1,Parada,Carro particular,,1,10,15,0,1,,Están muy cerca al mercado,,,,,,,
96d41bca-0123-4fa0-94aa-479195c7c79b,2019-05-25 20:01:09 UTC,2019-05-25 20:05:28 UTC,g.ruizaldazabal@alum.up.edu.pe,g.ruizaldazabal@alum.up.edu.pe,2019-05-25 20:05:33 UTC,2019-05-25 20:05:33 UTC,1,,,,-12.109594436823,-77.020547837019,POINT (-77.020547837019 -12.109594436823),1,0,4x3,1,06:00,23:00,yes,yes,06:00,23:00,5,0,1,3,0,Mercado de frutas,Carretilla,,3,5,1,0,1,,Por mayor consumo de plátano.,,,,,,,
da9284e5-6949-45a6-a34e-7a8d1c2da6fe,2019-05-25 20:08:13 UTC,2019-05-25 20:09:55 UTC,g.ruizaldazabal@alum.up.edu.pe,g.ruizaldazabal@alum.up.edu.pe,2019-05-25 20:10:05 UTC,2019-05-25 20:10:05 UTC,1,,,,-12.1089201192759,-77.0204653590918,POINT (-77.0204653590918 -12.1089201192759),0,0,3x3,2,07:00,22:00,yes,no,15:00,22:09,1,0,,,,,,,,,,,,,,Los clientes no piden FyVs,,,,,,
6b5764ef-98b1-4570-be70-8ff8584e94a8,2019-05-25 20:11:19 UTC,2019-05-25 20:14:45 UTC,g.ruizaldazabal@alum.up.edu.pe,g.ruizaldazabal@alum.up.edu.pe,2019-05-25 20:15:05 UTC,2019-05-25 20:15:05 UTC,1,,,,-12.1089974839424,-77.0203151553869,POINT (-77.0203151553869 -12.1089974839424),0,0,4x3,2,07:00,23:00,yes,no,09:00,21:00,3,1,,,,,,,,,,,,,,Cercanía de otros locales que ofrecen FyVs,,,,,,
f710c057-845e-4c53-a5cd-bca7a5a0f7d3,2019-05-25 20:15:17 UTC,2019-05-25 20:16:50 UTC,g.ruizaldazabal@alum.up.edu.pe,g.ruizaldazabal@alum.up.edu.pe,2019-05-25 20:20:09 UTC,2019-05-25 20:20:09 UTC,1,,,,-12.1089997786567,-77.0202883332968,POINT (-77.0202883332968 -12.1089997786567),0,0,4x3,2,18:00,22:00,yes,yes,18:00,21:00,3,1,,,,,,,,,,,,,,Los clientes no piden FyVs,,,,,,
f47df720-b08b-4e72-9a35-71f0389430d5,2019-05-25 20:17:09 UTC,2019-05-25 20:20:02 UTC,g.ruizaldazabal@alum.up.edu.pe,g.ruizaldazabal@alum.up.edu.pe,2019-05-25 20:20:10 UTC,2019-05-25 20:20:10 UTC,1,,,,-12.1089168411115,-77.0202802866697,POINT (-77.0202802866697 -12.1089168411115),0,0,7x3,2,07:00,23:00,yes,no,09:00,20:00,6,5,,,,,,,,,,,,,,No tiene los medios para abastecerse,,,,,,
c2333642-af43-486b-918b-67ab4d23e776,2019-05-25 20:23:15 UTC,2019-05-25 20:24:20 UTC,g.ruizaldazabal@alum.up.edu.pe,g.ruizaldazabal@alum.up.edu.pe,2019-05-25 20:24:26 UTC,2019-05-25 20:24:26 UTC,1,,,,-12.1099694576098,-77.0204080268741,POINT (-77.0204080268741 -12.1099694576098),0,0,3x3,1,06:00,11:23,yes,no,06:00,18:00,3,1,,,,,,,,,,,,,,No tiene los medios para abastecerse,,,,,,
