fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,venta_frutas,venta_verduras,superficie_bodega,num_personas,hora_apertura_semana,hora_cierre_semana,abre_fin_de_semana,horario_atencion_igual,hora_apertura_fin_de_semana,hora_cierre_fin_de_semana,num_entregas_general,num_recojos_general,num_lugares,num_entregas_fv,num_recojos_fv,lugar_principal,vehiculo_recojo,vehiculo_recojo_other,num_viajes_lugar_principal,cant_carga,cant_sku,cadena_frio,cant_merma,motivo_si_oferta,motivo_si_oferta_other,motivo_no_oferta,motivo_no_oferta_other,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
15e8c565-b156-4961-a6ed-80e2b9217e24,2019-06-01 14:18:42 UTC,2019-06-05 04:28:10 UTC,m.caballerof@alum.up.edu.pe,m.caballerof@alum.up.edu.pe,2019-06-01 14:37:07 UTC,2019-06-05 04:34:12 UTC,2,,,,-12.06271565,-76.94132913,POINT (-76.94132913 -12.06271565),1,1,6x8,2,06:00,23:00,yes,yes,,,3,1,1,0,2,Mercado santa anita,Van,,2,150,20,1,15,Los clientes piden FyVs,,,,,,,,
76a6a2b6-5893-461d-b60d-18279c6df572,2019-06-01 14:26:29 UTC,2019-06-05 04:21:38 UTC,m.caballerof@alum.up.edu.pe,m.caballerof@alum.up.edu.pe,2019-06-01 14:37:07 UTC,2019-06-05 04:34:08 UTC,2,,,,-12.0625492371731,-76.94141672,POINT (-76.94141672 -12.0625492371731),1,1,3x4,1,07:30,22:00,yes,yes,,,2,2,1,,1,Mercado de frutas,Carro particular,,1,70,10,1,12,Los clientes piden FyVs,,,,270.536319732666,5.0,3.0,0.0,87.890625
564130a4-04af-4e17-92fa-f67202d7da62,2019-06-01 14:29:34 UTC,2019-06-05 04:23:05 UTC,m.caballerof@alum.up.edu.pe,m.caballerof@alum.up.edu.pe,2019-06-01 14:37:07 UTC,2019-06-05 04:34:09 UTC,2,,,,-12.06158448,-76.94198426,POINT (-76.94198426 -12.06158448),0,0,5x5,1,06:00,22:00,yes,yes,,,1,1,,,,,,,,,,,,,,,No tiene permiso de la municipalidad ,,,,,
395bf15f-43da-41f0-8595-13f2e319969b,2019-06-01 14:50:01 UTC,2019-06-05 04:24:56 UTC,m.caballerof@alum.up.edu.pe,m.caballerof@alum.up.edu.pe,2019-06-01 14:54:54 UTC,2019-06-05 04:34:10 UTC,2,,,,-12.05894803,-76.9430035,POINT (-76.9430035 -12.05894803),1,1,4x3,3,07:00,21:00,yes,yes,,,3,0,1,0,1,Mercado de frutas,Carro particular,,1,80,16,1,8,Los clientes piden FyVs,,,,,,,,
271edd2d-e2c6-4778-a06c-95ec5f5bca26,2019-06-01 15:00:19 UTC,2019-06-05 21:47:00 UTC,m.caballerof@alum.up.edu.pe,m.caballerof@alum.up.edu.pe,2019-06-01 16:25:41 UTC,2019-06-05 21:47:23 UTC,4,,,,-12.0576640593562,-76.9442460313439,POINT (-76.9442460313439 -12.0576640593562),0,0,2x4,1,08:00,21:30,no,,,,2,1,,,,,,,,,,,,,,No tiene los medios para abastecerse,,,,,,
197e52e3-fc8c-4d8e-b977-bec00c509468,2019-06-01 15:02:28 UTC,2019-06-05 04:25:07 UTC,m.caballerof@alum.up.edu.pe,m.caballerof@alum.up.edu.pe,2019-06-01 16:25:41 UTC,2019-06-05 04:34:10 UTC,2,,,,-12.0579350832962,-76.944191716683,POINT (-76.944191716683 -12.0579350832962),0,0,4x3,1,08:30,19:00,yes,yes,,,1,0,,,,,,,,,,,,,,Los clientes no piden FyVs,,274.115482330322,5.0,3.0,0.370000004768372,40.78125
c7db29b6-5cd2-45d8-8d5d-0791e6545a8e,2019-06-01 16:20:20 UTC,2019-06-05 04:41:57 UTC,m.caballerof@alum.up.edu.pe,m.caballerof@alum.up.edu.pe,2019-06-01 16:25:41 UTC,2019-06-05 04:42:08 UTC,2,,,,-12.0527110701794,-76.9426219537854,POINT (-76.9426219537854 -12.0527110701794),1,0,3x5,1,07:30,20:30,no,,,,1,1,1,0,2,Mercado de frutas,Carretilla,,2,50,15,1,3,Es fácil adquirir FyVs,,,,,,,,
21f1ed62-e09e-4aec-b965-11be3ffd75e9,2019-06-01 16:29:26 UTC,2019-06-05 04:26:19 UTC,m.caballerof@alum.up.edu.pe,m.caballerof@alum.up.edu.pe,2019-06-01 16:35:11 UTC,2019-06-05 04:34:11 UTC,2,,,,-12.0542980301951,-76.9413797557354,POINT (-76.9413797557354 -12.0542980301951),0,0,3x3,1,10:00,23:00,yes,yes,,,2,1,,,,,,,,,,,,,,Los clientes no piden FyVs,,,,,,
8d050a7d-3fb4-4333-b279-9105836d5bcc,2019-06-01 16:31:51 UTC,2019-06-05 04:39:23 UTC,m.caballerof@alum.up.edu.pe,m.caballerof@alum.up.edu.pe,2019-06-01 16:35:12 UTC,2019-06-05 04:41:14 UTC,3,,,,-12.05443181,-76.94145486,POINT (-76.94145486 -12.05443181),0,0,3x5,1,07:00,22:00,yes,yes,,,2,1,,,,,,,,,,,,,,Las FyVs se malogran,,,,,,
fd43dbed-2a83-4483-b2f0-de92ce2ae371,2019-06-01 16:36:23 UTC,2019-06-05 04:26:29 UTC,m.caballerof@alum.up.edu.pe,m.caballerof@alum.up.edu.pe,2019-06-01 16:39:59 UTC,2019-06-05 04:34:11 UTC,2,,,,-12.05403638,-76.94123592,POINT (-76.94123592 -12.05403638),0,0,3x5,2,09:00,22:00,yes,yes,,,1,2,,,,,,,,,,,,,,Los clientes no piden FyVs,,,,,,
