,latitude,longitude,venta_frutas,venta_verduras,superficie_bodega,num_personas,hora_apertura_semana,hora_cierre_semana,abre_fin_de_semana,horario_atencion_igual,hora_apertura_fin_de_semana,hora_cierre_fin_de_semana,num_entregas_general,num_recojos_general,num_lugares,num_entregas_fv,num_recojos_fv,lugar_principal,vehiculo_recojo,vehiculo_recojo_other,num_viajes_lugar_principal,cant_carga,cant_sku,cadena_frio,cant_merma,motivo_si_oferta,motivo_si_oferta_other,motivo_no_oferta,motivo_no_oferta_other,gps_altitude,ventaFyV,in_food_desert,distrito,distance_to_market,dist_2closest_mkt,NSE07,population,betweenness_centrality_avg,kopt+0_Clusters,zone,hora_apertura_semana (hour),hora_apertura_semana (minute),hora_apertura_semana (seconds),hora_cierre_semana (hour),hora_cierre_semana (minute),hora_cierre_semana (seconds),hora_apertura_fin_de_semana (hour),hora_apertura_fin_de_semana (minute),hora_apertura_fin_de_semana (seconds),hora_cierre_fin_de_semana (hour),hora_cierre_fin_de_semana (minute),hora_cierre_fin_de_semana (seconds),vende_FyV,geometry,place_lon,place_lat,Time to market (mins),Taxi price
0,-12.038805,-76.947609,1,1,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0,,,,,,
1,-11.96299,-77.01987,1,1,9,,,,,,,,11,1,2,1,1,Mercado Minorista - La Parada,Taxi,,1,30,15,1,5,Otros,,Otros,,,Vende frutas y verduras,True,SAN JUAN DE LURIGANCHO,14.233,1127.51960711329,BA,16916,0.074221422,1,east_lima,,,,,,,,,,,,,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,40.9666666666667,12.7168885966667
2,-12.00862,-76.9768,1,1,9,,,,,,,,11,1,2,1,1,Mercado Minorista - La Parada,Taxi,,1,30,13,1,5,Otros,,Otros,,,Vende frutas y verduras,True,SAN JUAN DE LURIGANCHO,10.017,1244.46928933518,ME,14704,0.064131851,4,east_lima,,,,,,,,,,,,,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,26.45,10
3,-12.1183037725028,-77.024741805555,0,1,2,1,09:30:00,19:00:00,yes,yes,09:30:00,19:00:00,0,7,1,0,7,Mercado Minorista - La Parada,Taxi,,7,12,15,0,3.52103111508551,Los clientes piden FyVs,,Otros,,107.75049761786,Vende solo verduras,False,SURQUILLO,9.682,23.0360335324216,ME,36397,0.052855204,6,center_lima,9,30,0,19,0,0,9,30,0,19,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,22.9833333333333,10
4,-12.1181670354057,-77.0248215099537,0,1,1,1,08:00:00,16:30:00,yes,yes,08:00:00,16:00:00,0,7,1,0,7,Mercado Minorista - La Parada,Taxi,,7,20,14,0,2,Los clientes piden FyVs,,Otros,,107.977168929022,Vende solo verduras,False,SURQUILLO,9.698,9.22513661897526,MA,36397,0.052855204,6,center_lima,8,0,0,16,30,0,8,0,0,16,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,23.0666666666667,10
5,-12.1180752399848,-77.0248208076341,0,1,4,2,08:00:00,19:00:00,yes,yes,08:00:00,19:00:00,0,7,1,0,7,Mercado Minorista - La Parada,Taxi,,7,100,25,0,10,Los clientes piden FyVs,,Otros,,108.328608654138,Vende solo verduras,False,SURQUILLO,9.708,5.6845186883795,MA,36397,0.052855204,6,center_lima,8,0,0,19,0,0,8,0,0,19,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,23.1166666666667,10
6,-12.1181355927603,-77.0248775676824,1,1,9,3,17:00:00,21:00:00,yes,yes,17:00:00,21:00:00,0,6,1,0,7,Mercado Minorista - La Parada,Taxi,,6,200,35,0,30,Los clientes piden FyVs,,Otros,,107.887814275119,Vende frutas y verduras,False,SURQUILLO,9.703,12.0188253627486,MA,36397,0.052855204,6,center_lima,17,0,0,21,0,0,17,0,0,21,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,23.0833333333333,10
7,-12.1181272350339,-77.0249688720707,0,1,1,1,08:00:00,16:00:00,yes,yes,08:00:00,16:00:00,0,7,1,0,7,Mercado Minorista - La Parada,Taxi,,7,30,10,0,2,Es fácil adquirir FyVs,,Otros,,107.577236560304,Vende solo verduras,False,SURQUILLO,9.705,21.4622258567713,MA,36397,0.052855204,6,center_lima,8,0,0,16,0,0,8,0,0,16,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,23.1,10
8,-12.1179627350455,-77.0249499037889,1,0,1,1,09:00:00,13:00:00,yes,yes,09:00:00,13:00:00,0,7,1,0,7,Mercado Minorista - La Parada,Taxi,,7,10,1,0,1.17621759119615,Los clientes piden FyVs,,Otros,,107.939024267265,Vende solo frutas,False,SURQUILLO,9.723,24.3061392193156,MA,36397,0.052855204,6,center_lima,9,0,0,13,0,0,9,0,0,13,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,23.1833333333333,10
9,-12.1183826579911,-77.025101926831,1,1,4,2,09:30:00,16:00:00,yes,no,08:00:00,18:00:00,0,7,1,0,7,Mercado Minorista - La Parada,Taxi,,7,50,20,0,5,Los clientes piden FyVs,,Otros,,106.280338060095,Vende frutas y verduras,False,SURQUILLO,9.68,47.6104443425828,MA,36397,0.052855204,6,center_lima,9,30,0,16,0,0,8,0,0,18,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,22.9833333333333,10
10,-12.1183770103347,-77.0250789992041,0,1,4,1,10:00:00,17:30:00,yes,yes,10:00:00,17:30:00,0,6,1,0,6,Mercado Minorista - La Parada,Taxi,,6,80,10,0,6.8151654563179,Los clientes piden FyVs,,Otros,,106.385837578879,Vende solo verduras,False,SURQUILLO,9.68,45.340492337423,ME,36397,0.052855204,6,center_lima,10,0,0,17,30,0,10,0,0,17,30,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,22.9833333333333,10
11,-12.1184299937318,-77.0251120494561,1,1,1,1,10:00:00,17:00:00,yes,yes,10:00:00,17:00:00,0,6,1,0,6,Mercado Minorista - La Parada,Taxi,,6,70,8,0,0.596556161135742,Los clientes piden FyVs,,Otros,,106.251677919525,Vende frutas y verduras,False,SURQUILLO,9.664,52.0001943388072,ME,36397,0.052855204,6,center_lima,10,0,0,17,0,0,10,0,0,17,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,22.8833333333333,10
12,-12.1183939573039,-77.0250622168324,1,1,1,1,09:30:00,16:30:00,no,,,,0,5,1,0,5,Mercado Minorista - La Parada,Taxi,,5,50,5,0,7.98777559039645,Es fácil adquirir FyVs,,Otros,,106.466938101632,Vende frutas y verduras,False,SURQUILLO,9.678,45.354545348255,ME,36397,0.052855204,6,center_lima,9,30,0,16,30,0,,,,,,,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,22.9666666666667,10
13,-12.1184339263193,-77.0250923159891,1,0,1,1,09:00:00,18:00:00,yes,yes,09:00:00,18:00:00,0,6,1,0,6,Mercado Minorista - La Parada,Taxi,,6,90,8,0,6.34891261369656,Es fácil adquirir FyVs,,Otros,,106.337853169291,Vende solo frutas,False,SURQUILLO,9.664,50.8196549053748,ME,36397,0.052855204,6,center_lima,9,0,0,18,0,0,9,0,0,18,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,22.8833333333333,10
14,-12.1183676222828,-77.0253408794091,1,0,4,2,08:30:00,19:00:00,yes,yes,08:29:00,19:00:00,1,4,2,1,4,Mercado Minorista - La Parada,Carro particular,,1,200,12,0,10,Los clientes piden FyVs,,Otros,,104.431229557551,Vende solo frutas,False,SURQUILLO,9.552,50.7505547476714,MA,36397,0.052855204,6,center_lima,8,30,0,19,0,0,8,29,0,19,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,22.0166666666667,10
15,-12.1184134440887,-77.0248466664189,1,1,4,1,08:12:00,20:00:00,yes,yes,08:03:00,19:00:00,0,6,1,0,6,Mercado Minorista - La Parada,Taxi,,6,50,8,0,2,Es fácil adquirir FyVs,,Otros,,107.236719995064,Vende frutas y verduras,False,SURQUILLO,9.664,35.787929245265,ME,36397,0.052855204,6,center_lima,8,12,0,20,0,0,8,3,0,19,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,22.8833333333333,10
16,-12.1184634597422,-77.0244951750676,1,1,2,1,08:01:00,17:00:00,yes,yes,08:00:00,17:03:00,0,7,1,0,7,Mercado Minorista - La Parada,Taxi,,7,80,15,0,5,Los clientes piden FyVs,,Otros,,108.596094469685,Vende frutas y verduras,False,SURQUILLO,9.032,50.5637044279202,ME,36397,0.052855204,6,center_lima,8,1,0,17,0,0,8,0,0,17,3,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,23.9833333333333,10
17,-12.1184000202782,-77.0239138239082,1,1,2,1,07:46:00,16:46:00,yes,yes,19:46:00,16:46:00,0,5,1,0,5,Mercado Minorista - La Parada,Taxi,,5,80,10,0,5,Los clientes piden FyVs,,Otros,,106.874656677246,Vende frutas y verduras,False,SURQUILLO,8.968,99.4365597410053,ME,36397,0.052855204,6,center_lima,7,46,0,16,46,0,19,46,0,16,46,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,23.6,10
18,-12.0712202107668,-77.0901702716947,1,1,,3,07:30:00,19:00:00,yes,yes,,,,,4,5,1,Mercado Minorista - La Parada,Carretilla,,2,30,,0,15,Los clientes piden FyVs,,Otros,,,Vende frutas y verduras,False,SAN MIGUEL,11.823,813.293656410768,MA,10046,0.051596023,5,center_lima,7,30,0,19,0,0,,,,,,,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,38.7,12.01130583
19,-12.0702838334392,-77.0943538472056,1,1,,3,08:00:00,19:00:00,yes,yes,,,,,1,2,1,Mercado Minorista - La Parada,Otros,Colectivo,1,50,,0,10,Los clientes piden FyVs,,Otros,,,Vende frutas y verduras,False,SAN MIGUEL,16.26,515.075466998743,MA,18243,0.090978976,1,center_lima,8,0,0,19,0,0,,,,,,,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,36.3666666666667,11.2933412666667
20,-12.0645497717363,-77.1040928088042,1,1,,2,08:00:00,19:00:00,yes,yes,,,,,1,3,1,Mercado Minorista - La Parada,Otros,Colectivo,1,50,,0,10,Los clientes piden FyVs,,Otros,,49.0273917658965,Vende frutas y verduras,False,SAN MIGUEL,15.933,193.539402210897,MA,21618,0.042523365,5,center_lima,8,0,0,19,0,0,,,,,,,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,34.05,10.57477893
21,-12.1099904377781,-77.0215908810496,1,1,16,2,06:00:00,22:00:00,yes,yes,06:00:00,22:00:00,5,1,2,0,1,Mercado Minorista - La Parada,Carro particular,,1,10,15,0,1,Otros,Están muy cerca al mercado,Otros,,,Vende frutas y verduras,False,SURQUILLO,6.574,124.552126123525,ME,17507,0.057891411,3,center_lima,6,0,0,22,0,0,6,0,0,22,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,24.3333333333333,10
22,-12.109937659539,-77.0200358703732,1,1,20,1,07:00:00,23:00:00,yes,no,19:00:00,21:00:00,6,2,1,0,1,Mercado Minorista - La Parada,Taxi,,1,20,10,0,1,Los clientes piden FyVs,,Otros,,,Vende frutas y verduras,False,SURQUILLO,6.729,161.465432204006,ME,17507,0.057891411,3,center_lima,7,0,0,23,0,0,19,0,0,21,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,24.3166666666667,10
23,-12.109216137349,-77.0235230773687,1,1,10,2,05:30:00,22:00:00,yes,yes,17:30:00,22:00:00,0,3,1,0,3,Mercado Minorista - La Parada,Taxi,,3,30,16,0,1,Los clientes piden FyVs,,Otros,,,Vende frutas y verduras,False,SURQUILLO,6.685,136.470432584619,ME,22618,0.058136675,6,center_lima,5,30,0,22,0,0,17,30,0,22,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,24.55,10
24,-12.1084323279811,-77.010914683342,1,1,32,4,08:00:00,20:00:00,yes,no,08:00:00,16:00:00,4,1,1,4,1,Mercado Minorista - La Parada,Carro particular,,5,,,0,,Los clientes piden FyVs,,Otros,,,Vende frutas y verduras,False,SURQUILLO,6.424,59.0588446920635,ME,16249,0.055758171,3,center_lima,8,0,0,20,0,0,8,0,0,16,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,23.5833333333333,10
25,-12.109045,-77.0115922,1,0,18,2,09:00:00,21:00:00,yes,no,10:00:00,16:00:00,4,1,1,4,0,Mercado Minorista - La Parada,Taxi,,4,,,0,,Es fácil adquirir FyVs,,Otros,,150,Vende solo frutas,False,SURQUILLO,6.415,133.617487874323,ME,16249,0.055758171,3,center_lima,9,0,0,21,0,0,10,0,0,16,0,0,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,23.5166666666667,10
26,-12.1011247253158,-77.0540503040674,1,1,81,6,06:00:00,22:00:00,no,,,,7,0,1,0,7,Mercado Minorista - La Parada,Carro particular,,7,100,20,0,0.128658931694948,Los clientes piden FyVs,,Otros,,75.8421230316162,Vende frutas y verduras,False,SAN ISIDRO,8.478,855.772137601055,AL,25801,0.057861537,3,,6,0,0,22,0,0,,,,,,,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,28.3166666666667,10
27,-12.0250021247305,-76.998718679023,1,0,4,,,,,,,,0,7,2,0,7,Mercado Minorista - La Parada,Otros,,6,70,30,0,15,Otros,,Otros,,212.059391021729,Vende solo frutas,False,SAN JUAN DE LURIGANCHO,6.666,8.21461945947952,ME,23697,0.058814298,4,east_lima,,,,,,,,,,,,,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,19.0166666666667,10
28,-12.0114835,-76.9827027,1,1,,,,,,,,,7,2,2,0,3,Mercado Minorista - La Parada,Transporte publico,,4,20,8,0,1,Otros,frutas por temporada,Otros,,305.9,Vende frutas y verduras,False,SAN JUAN DE LURIGANCHO,9.155,629.750052804955,ME,14704,0.064131851,4,east_lima,,,,,,,,,,,,,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,24.5833333333333,10
29,-12.2173573,-76.9407967,1,1,12,,,,,,,,0,1,2,0,1,Mercado Minorista - La Parada,Taxi,,1,20,3,0,7.56775977750602,Otros,,Otros,,,Vende frutas y verduras,False,VILLA EL SALVADOR,23.188,366.616287614182,MB,8310,0.034458544,4,south_lima,,,,,,,,,,,,,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,41.75,12.97055748
30,-12.012568744842,-76.9803836849304,1,1,28,,,,,,,,2,3,2,1,2,Mercado Minorista - La Parada,Transporte publico,,2,300,20,0,3,Otros,,Otros,,252.551212310791,Vende frutas y verduras,False,SAN JUAN DE LURIGANCHO,9.533,658.737035755191,MA,14704,0.064131851,4,east_lima,,,,,,,,,,,,,1,POINT (-77.011133994866 -12.0642529),-77.011133994866,-12.0642529,25.0833333333333,10
