,index,population,count_intersections,streets_per_node_avg,betweenness_centrality_avg,primary_length_total_ext,highway_length_total_ext,fraction_oneway_ext,N_BFA,N_OtherServices,N_Retail,N_Est_Mfg,N_Est_BFA,N_Est_RW,N_Emp_Mfg,N_Emp_BFA,N_Emp_RW,N_Emp_Tot,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,kopt+0_Clusters,kopt+1_Clusters,kopt+2_Clusters,lat,lon,utm_n,utm_e,geometry,nanostore_count,grid_geometry
0,117,1461,114,3.041322314,0.059483876,0.0,0.0,0.164403877,24,4,10,0.0,1.0,0.0,0.0,1.0,4.0,332.0,6.57041854778,4.09383220143,-3.38255291207,0.08634472683800001,-1.3350806209000001,1.8189720737400001,-0.103225947355,4,0,0,-12.33002618,-76.82652389,8636276.063,301380.8033,POINT (-76.82652389 -12.33002618),107.0,"POLYGON ((300880.6480350624 -1364223.935812385, 301880.6480350624 -1364223.935812385, 301880.6480350624 -1363223.935812385, 300880.6480350624 -1363223.935812385, 300880.6480350624 -1364223.935812385))"
1,248,3558,57,3.0307692310000003,0.09696275900000001,0.0,0.0,0.0,28,5,15,0.0,1.0,0.0,0.0,1.0,4.0,332.0,7.56220666643,2.6115351556,-5.33583930551,-5.21123932027,-1.06419856747,0.7753636054699999,-0.9846365977670001,1,2,0,-12.31188745,-76.83559098,8638276.063,300380.8033,POINT (-76.83559098000001 -12.31188745),99.0,"POLYGON ((299880.6456367854 -1362223.934913523, 300880.6456367854 -1362223.934913523, 300880.6456367854 -1361223.934913523, 299880.6456367854 -1361223.934913523, 299880.6456367854 -1362223.934913523))"
2,312,1768,63,3.260869565,0.076863127,0.0,0.0,0.06165465,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1393232867,1.9965553336500002,-0.38260539442,-0.9603263434460001,-0.872625576893,3.27984249625,1.5149513882700003,1,2,0,-12.30272488,-76.8539118,8639276.063,298380.8033,POINT (-76.85391180000001 -12.30272488),54.0,"POLYGON ((297880.6407835857 -1361223.935530105, 298880.6407835857 -1361223.935530105, 298880.6407835857 -1360223.935530105, 297880.6407835857 -1360223.935530105, 297880.6407835857 -1361223.935530105))"
3,313,6137,96,3.14,0.09178416800000001,0.0,4060.1849939999997,0.226727158,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.489808347239999,0.0984280535383,-2.3689308457799996,2.16764107765,24.301294930500003,4.28214806593,3.26795524022,0,6,6,-12.30278706,-76.84472002,8639276.063,299380.8033,POINT (-76.84472002 -12.30278706),83.0,"POLYGON ((298880.6430970024 -1361223.935154226, 299880.6430970024 -1361223.935154226, 299880.6430970024 -1360223.935154226, 298880.6430970024 -1360223.935154226, 298880.6430970024 -1361223.935154226))"
4,378,8452,145,3.278911565,0.060881944,0.0,0.0,0.184630498,10,4,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.40510789166,5.848254014119999,-1.26489376036,2.13955528287,-1.51126580929,3.6985087353800004,0.539361241723,4,0,4,-12.29368645,-76.85384843,8640276.063,298380.8033,POINT (-76.85384843 -12.29368645),256.0,"POLYGON ((297880.6408009235 -1360223.935509437, 298880.6408009235 -1360223.935509437, 298880.6408009235 -1359223.935509437, 297880.6408009235 -1359223.935509437, 297880.6408009235 -1360223.935509437))"
5,443,1416,23,3.52173913,0.13175230599999999,0.0,0.0,0.351102201,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12186547022,0.610206107224,-4.0607360878600005,-4.97750467755,-0.27202268783399997,6.34024675305,2.99035401213,1,2,0,-12.28458561,-76.86297621,8641276.063,297380.8033,POINT (-76.86297621 -12.28458561),23.0,"POLYGON ((296880.6387962415 -1359223.934794558, 297880.6387962415 -1359223.934794558, 297880.6387962415 -1358223.934794558, 296880.6387962415 -1358223.934794558, 296880.6387962415 -1359223.934794558))"
6,444,1963,30,3.027777778,0.11837068199999999,0.0,0.0,0.03980822,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.226261040499999,-0.809670247649,-0.333008862014,-6.97419829585,0.102971534457,1.21971641343,1.97890562949,1,2,3,-12.28464801,-76.85378511,8641276.063,298380.8033,POINT (-76.85378511 -12.28464801),73.0,"POLYGON ((297880.6408352417 -1359223.935077125, 298880.6408352417 -1359223.935077125, 298880.6408352417 -1358223.935077125, 297880.6408352417 -1358223.935077125, 297880.6408352417 -1359223.935077125))"
7,508,10039,66,3.185714286,0.084118865,0.0,0.0,0.452237695,4,15,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9188699577499997,4.82263429704,-5.85968736492,-3.73679316442,-0.29779579138,3.6016799598199998,0.310604275196,4,0,0,-12.27548456,-76.87210337,8642276.063,296380.8033,POINT (-76.87210337 -12.27548456),423.0,"POLYGON ((295880.6360655741 -1358223.935151558, 296880.6360655741 -1358223.935151558, 296880.6360655741 -1357223.935151558, 295880.6360655741 -1357223.935151558, 295880.6360655741 -1358223.935151558))"
8,574,4149,9,2.2,0.186813187,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.295432392,-5.72578120048,1.0255487554,-19.1449034233,2.23382931483,-5.916723671880001,1.83207678058,1,2,3,-12.26644621,-76.87203953,8643276.063,296380.8033,POINT (-76.87203953 -12.26644621),57.0,"POLYGON ((295880.6354904362 -1357223.935579788, 296880.6354904362 -1357223.935579788, 296880.6354904362 -1356223.935579788, 295880.6354904362 -1356223.935579788, 295880.6354904362 -1357223.935579788))"
9,575,1870,42,2.722222222,0.10939095800000001,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.245223667000001,-1.39026442502,1.17379506896,-7.96691718354,0.492818086047,-1.3451367136399999,1.65989480014,1,2,3,-12.26650882,-76.86284909999999,8643276.063,297380.8033,POINT (-76.86284909999999 -12.26650882),28.0,"POLYGON ((296880.6382514093 -1357223.935510356, 297880.6382514093 -1357223.935510356, 297880.6382514093 -1356223.935510356, 296880.6382514093 -1356223.935510356, 296880.6382514093 -1357223.935510356))"
